Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 3.216780
8000, 8000, 5.722570
12000, 12000, 8.769158
16000, 16000, 9.371475
20000, 20000, 10.775727
24000, 24000, 11.654135
28000, 28000, 11.680708
32000, 32000, 11.902025
36000, 36000, 12.318242
40000, 40000, 12.624683
44000, 44000, 12.745482
48000, 48000, 13.113282
52000, 52000, 14.006266
56000, 56000, 14.214382
60000, 60000, 14.614200
64000, 64000, 14.335277
68000, 68000, 14.799379
72000, 72000, 15.211111
76000, 76000, 16.268727
80000, 80000, 16.159365
84000, 84000, 17.539121
88000, 88000, 18.349402
92000, 92000, 17.470709
96000, 96000, 18.442198
100000, 100000, 18.504416
104000, 104000, 19.932914
108000, 108000, 19.386970
112000, 112000, 19.822722
116000, 116000, 20.485859
120000, 120000, 21.237338
124000, 124000, 21.908495
128000, 128000, 21.785377
132000, 132000, 21.633569
136000, 136000, 22.590439
140000, 140000, 22.402419
144000, 144000, 22.436400
148000, 148000, 23.057586
152000, 152000, 23.585153
156000, 156000, 23.722406
160000, 160000, 23.561531
164000, 164000, 23.030484
168000, 168000, 23.211341
172000, 172000, 23.303300
176000, 176000, 22.911312
180000, 180000, 22.537738
184000, 184000, 22.559997
188000, 188000, 22.784265
192000, 192000, 23.803720
196000, 196000, 23.791755
200000, 200000, 22.499337
204000, 204000, 22.523650
208000, 208000, 22.979305
212000, 212000, 23.206104
216000, 216000, 23.580038
220000, 220000, 22.741560
224000, 224000, 21.570919
228000, 228000, 22.818523
232000, 232000, 23.485940
236000, 236000, 24.428983
240000, 240000, 24.163917
244000, 244000, 23.706493
248000, 248000, 23.946047
252000, 252000, 23.176869
256000, 256000, 24.235488
260000, 260000, 23.789130
264000, 264000, 22.877427
268000, 268000, 22.646626
272000, 272000, 23.026751
276000, 276000, 23.848618
280000, 280000, 23.675587
284000, 284000, 22.482770
288000, 288000, 22.240564
292000, 292000, 23.372444
296000, 296000, 23.834835
300000, 300000, 23.633579
304000, 304000, 23.128411
308000, 308000, 22.297278
312000, 312000, 22.775296
316000, 316000, 22.981788
320000, 320000, 23.251150
324000, 324000, 22.342120
328000, 328000, 22.237349
332000, 332000, 22.612994
336000, 336000, 22.509801
340000, 340000, 22.408214
344000, 344000, 22.599880
348000, 348000, 21.902920
352000, 352000, 21.809789
356000, 356000, 22.781216
360000, 360000, 21.810167
364000, 364000, 22.230042
368000, 368000, 22.362453
372000, 372000, 23.764633
376000, 376000, 23.317559
380000, 380000, 22.709840
384000, 384000, 22.792463
388000, 388000, 23.431678
392000, 392000, 22.970059
396000, 396000, 22.922502
400000, 400000, 23.425825
