Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.373866
8000, 8000, 3.708992
12000, 12000, 5.329428
16000, 16000, 5.782664
20000, 20000, 6.410557
24000, 24000, 7.198259
28000, 28000, 8.304250
32000, 32000, 8.874702
36000, 36000, 8.863939
40000, 40000, 9.359457
44000, 44000, 9.648222
48000, 48000, 9.710452
52000, 52000, 10.408955
56000, 56000, 10.715777
60000, 60000, 10.818675
64000, 64000, 11.344502
68000, 68000, 11.471928
72000, 72000, 11.890812
76000, 76000, 12.102202
80000, 80000, 12.058534
84000, 84000, 12.695993
88000, 88000, 13.167938
92000, 92000, 13.775035
96000, 96000, 14.496677
100000, 100000, 14.872625
104000, 104000, 14.981877
108000, 108000, 15.224352
112000, 112000, 15.260693
116000, 116000, 14.968188
120000, 120000, 15.280957
124000, 124000, 15.336093
128000, 128000, 15.592700
132000, 132000, 15.506420
136000, 136000, 15.941005
140000, 140000, 15.803736
144000, 144000, 16.159016
148000, 148000, 16.386399
152000, 152000, 16.171711
156000, 156000, 15.842811
160000, 160000, 16.201981
164000, 164000, 16.874185
168000, 168000, 16.488872
172000, 172000, 16.587980
176000, 176000, 16.764930
180000, 180000, 17.054796
184000, 184000, 17.079601
188000, 188000, 17.287166
192000, 192000, 17.365718
196000, 196000, 17.643787
200000, 200000, 17.020002
204000, 204000, 17.486068
208000, 208000, 17.733312
212000, 212000, 18.022646
216000, 216000, 18.266036
220000, 220000, 18.487390
224000, 224000, 18.316117
228000, 228000, 18.351192
232000, 232000, 18.479229
236000, 236000, 19.096864
240000, 240000, 19.659654
244000, 244000, 19.555245
248000, 248000, 19.425624
252000, 252000, 19.369662
256000, 256000, 19.555159
260000, 260000, 19.026052
264000, 264000, 19.201238
268000, 268000, 19.423551
272000, 272000, 19.934026
276000, 276000, 19.270724
280000, 280000, 19.448966
284000, 284000, 19.852980
288000, 288000, 19.967994
292000, 292000, 20.462453
296000, 296000, 20.468486
300000, 300000, 20.169692
304000, 304000, 19.979751
308000, 308000, 20.104254
312000, 312000, 19.901558
316000, 316000, 20.375881
320000, 320000, 19.903784
324000, 324000, 19.831403
328000, 328000, 20.099370
332000, 332000, 19.445263
336000, 336000, 19.668144
340000, 340000, 19.868923
344000, 344000, 20.076605
348000, 348000, 20.198970
352000, 352000, 20.281248
356000, 356000, 19.991718
360000, 360000, 19.996491
364000, 364000, 20.078522
368000, 368000, 20.311133
372000, 372000, 20.257822
376000, 376000, 20.186366
380000, 380000, 19.902659
384000, 384000, 19.868228
388000, 388000, 19.488470
392000, 392000, 20.085843
396000, 396000, 19.857990
400000, 400000, 19.729800
