Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.192566
8000, 8000, 3.017695
12000, 12000, 3.809358
16000, 16000, 4.630608
20000, 20000, 5.342654
24000, 24000, 5.740608
28000, 28000, 6.616512
32000, 32000, 6.954004
36000, 36000, 7.442530
40000, 40000, 7.983867
44000, 44000, 8.153972
48000, 48000, 8.386933
52000, 52000, 9.148632
56000, 56000, 8.983441
60000, 60000, 9.313838
64000, 64000, 9.624360
68000, 68000, 9.874625
72000, 72000, 10.859230
76000, 76000, 11.527213
80000, 80000, 11.779227
84000, 84000, 11.715540
88000, 88000, 12.065257
92000, 92000, 11.867241
96000, 96000, 12.332013
100000, 100000, 12.314959
104000, 104000, 12.643792
108000, 108000, 13.309334
112000, 112000, 13.647208
116000, 116000, 13.825298
120000, 120000, 14.137972
124000, 124000, 14.216843
128000, 128000, 14.594067
132000, 132000, 14.942425
136000, 136000, 15.148915
140000, 140000, 15.007738
144000, 144000, 15.270364
148000, 148000, 15.002005
152000, 152000, 15.877453
156000, 156000, 15.445972
160000, 160000, 15.397512
164000, 164000, 15.488326
168000, 168000, 15.582800
172000, 172000, 15.859790
176000, 176000, 15.511129
180000, 180000, 15.447043
184000, 184000, 15.670035
188000, 188000, 15.692849
192000, 192000, 15.970729
196000, 196000, 15.759734
200000, 200000, 15.601017
204000, 204000, 15.925057
208000, 208000, 16.042784
212000, 212000, 15.884317
216000, 216000, 16.002352
220000, 220000, 16.582914
224000, 224000, 16.639780
228000, 228000, 17.200580
232000, 232000, 17.016984
236000, 236000, 16.996607
240000, 240000, 17.231205
244000, 244000, 17.420891
248000, 248000, 17.420530
252000, 252000, 17.463199
256000, 256000, 17.951101
260000, 260000, 18.263336
264000, 264000, 18.461005
268000, 268000, 17.973790
272000, 272000, 17.640312
276000, 276000, 17.702324
280000, 280000, 18.111514
284000, 284000, 17.792735
288000, 288000, 18.070264
292000, 292000, 18.160906
296000, 296000, 18.512278
300000, 300000, 18.352806
304000, 304000, 18.565355
308000, 308000, 18.456134
312000, 312000, 18.913910
316000, 316000, 18.561730
320000, 320000, 18.806149
324000, 324000, 18.810113
328000, 328000, 19.334187
332000, 332000, 19.044651
336000, 336000, 19.528133
340000, 340000, 19.416364
344000, 344000, 19.490694
348000, 348000, 19.414702
352000, 352000, 19.964241
356000, 356000, 20.414222
360000, 360000, 20.032855
364000, 364000, 20.294735
368000, 368000, 20.639311
372000, 372000, 20.702130
376000, 376000, 20.957869
380000, 380000, 20.725114
384000, 384000, 20.997658
388000, 388000, 20.865812
392000, 392000, 21.367782
396000, 396000, 21.491020
400000, 400000, 21.257278
