Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.038144
8000, 8000, 2.939096
12000, 12000, 3.255038
16000, 16000, 4.255439
20000, 20000, 4.737124
24000, 24000, 5.296294
28000, 28000, 6.260213
32000, 32000, 6.714606
36000, 36000, 7.582564
40000, 40000, 7.567222
44000, 44000, 8.190798
48000, 48000, 7.739250
52000, 52000, 8.391475
56000, 56000, 8.914199
60000, 60000, 9.598485
64000, 64000, 9.661872
68000, 68000, 9.501003
72000, 72000, 9.341493
76000, 76000, 9.912759
80000, 80000, 11.040681
84000, 84000, 11.475070
88000, 88000, 11.830436
92000, 92000, 12.252200
96000, 96000, 12.394828
100000, 100000, 12.021263
104000, 104000, 11.895570
108000, 108000, 12.088974
112000, 112000, 12.765325
116000, 116000, 12.774089
120000, 120000, 12.845588
124000, 124000, 12.957414
128000, 128000, 13.491243
132000, 132000, 13.398813
136000, 136000, 13.709135
140000, 140000, 14.373271
144000, 144000, 14.518479
148000, 148000, 14.820270
152000, 152000, 15.434738
156000, 156000, 15.454252
160000, 160000, 14.948389
164000, 164000, 15.306964
168000, 168000, 15.424407
172000, 172000, 15.405038
176000, 176000, 15.760970
180000, 180000, 15.811218
184000, 184000, 15.934815
188000, 188000, 16.011007
192000, 192000, 16.053875
196000, 196000, 16.265320
200000, 200000, 16.799226
204000, 204000, 17.195173
208000, 208000, 17.390635
212000, 212000, 17.420870
216000, 216000, 17.785799
220000, 220000, 17.881736
224000, 224000, 17.834329
228000, 228000, 18.283030
232000, 232000, 18.335475
236000, 236000, 18.789248
240000, 240000, 18.860046
244000, 244000, 19.021850
248000, 248000, 18.782400
252000, 252000, 18.662601
256000, 256000, 18.822361
260000, 260000, 18.552442
264000, 264000, 18.847433
268000, 268000, 18.964854
272000, 272000, 19.072499
276000, 276000, 18.986019
280000, 280000, 19.066221
284000, 284000, 19.501284
288000, 288000, 19.353706
292000, 292000, 20.211374
296000, 296000, 20.199954
300000, 300000, 20.396511
304000, 304000, 20.740267
308000, 308000, 20.979400
312000, 312000, 21.022447
316000, 316000, 20.944242
320000, 320000, 20.515659
324000, 324000, 20.165452
328000, 328000, 20.262389
332000, 332000, 20.540632
336000, 336000, 20.741166
340000, 340000, 20.939976
344000, 344000, 21.062902
348000, 348000, 20.995353
352000, 352000, 20.936341
356000, 356000, 20.749847
360000, 360000, 20.944510
364000, 364000, 20.910878
368000, 368000, 20.839465
372000, 372000, 20.637914
376000, 376000, 20.609693
380000, 380000, 20.017667
384000, 384000, 20.627011
388000, 388000, 20.631025
392000, 392000, 20.514262
396000, 396000, 20.433028
400000, 400000, 20.689762
