Iterations, Proposals, Gravimetry
0, 0, 1.534621
4000, 4000, 2.021054
8000, 8000, 2.468006
12000, 12000, 3.048769
16000, 16000, 3.315904
20000, 20000, 3.488122
24000, 24000, 3.831340
28000, 28000, 4.047512
32000, 32000, 4.163149
36000, 36000, 4.041372
40000, 40000, 3.885773
44000, 44000, 3.983053
48000, 48000, 4.193756
52000, 52000, 4.358154
56000, 56000, 4.468151
60000, 60000, 4.433374
64000, 64000, 4.573207
68000, 68000, 4.601847
72000, 72000, 4.633566
76000, 76000, 4.751023
80000, 80000, 4.755849
84000, 84000, 4.854651
88000, 88000, 4.821739
92000, 92000, 4.725869
96000, 96000, 4.714037
100000, 100000, 4.668364
104000, 104000, 4.690827
108000, 108000, 4.822112
112000, 112000, 4.711494
116000, 116000, 4.841473
120000, 120000, 4.962146
124000, 124000, 5.015661
128000, 128000, 5.120832
132000, 132000, 5.307232
136000, 136000, 5.207665
140000, 140000, 5.166070
144000, 144000, 5.294126
148000, 148000, 5.174636
152000, 152000, 5.232026
156000, 156000, 5.292846
160000, 160000, 5.324315
164000, 164000, 5.323525
168000, 168000, 5.257794
172000, 172000, 5.244038
176000, 176000, 5.331037
180000, 180000, 5.279483
184000, 184000, 5.292722
188000, 188000, 5.173284
192000, 192000, 5.240057
196000, 196000, 5.234031
200000, 200000, 5.140790
204000, 204000, 5.082201
208000, 208000, 5.328737
212000, 212000, 5.066500
216000, 216000, 5.236006
220000, 220000, 5.053135
224000, 224000, 4.885909
228000, 228000, 5.131673
232000, 232000, 5.160814
236000, 236000, 5.241653
240000, 240000, 5.133717
244000, 244000, 5.132448
248000, 248000, 5.213564
252000, 252000, 5.224587
256000, 256000, 5.261417
260000, 260000, 5.476130
264000, 264000, 5.601709
268000, 268000, 5.622404
272000, 272000, 5.327528
276000, 276000, 5.314290
280000, 280000, 5.382673
284000, 284000, 5.207214
288000, 288000, 5.291128
292000, 292000, 5.326975
296000, 296000, 5.310403
300000, 300000, 5.351690
304000, 304000, 5.406664
308000, 308000, 5.436644
312000, 312000, 5.353717
316000, 316000, 5.342629
320000, 320000, 5.431165
324000, 324000, 5.323275
328000, 328000, 5.361639
332000, 332000, 5.509680
336000, 336000, 5.475843
340000, 340000, 5.423402
344000, 344000, 5.410772
348000, 348000, 5.455712
352000, 352000, 5.411393
356000, 356000, 5.578696
360000, 360000, 5.721033
364000, 364000, 5.572033
368000, 368000, 5.694224
372000, 372000, 5.520982
376000, 376000, 5.541035
380000, 380000, 5.789831
384000, 384000, 5.825543
388000, 388000, 5.621845
392000, 392000, 5.687686
396000, 396000, 5.729447
400000, 400000, 5.672193
