Iterations, Proposals, Gravimetry, TMI
0, 0, 2.298569, 1.502323
5000, 5000, 0.599651, 0.763182
10000, 10000, 0.376409, 0.654805
15000, 15000, 0.280451, 0.593512
20000, 20000, 0.229479, 0.516799
25000, 25000, 0.200175, 0.434396
30000, 30000, 0.186205, 0.383281
35000, 35000, 0.177311, 0.326485
40000, 40000, 0.170832, 0.303359
45000, 45000, 0.168907, 0.281118
50000, 50000, 0.162745, 0.266956
55000, 55000, 0.158541, 0.251627
60000, 60000, 0.157600, 0.249394
65000, 65000, 0.153972, 0.243413
70000, 70000, 0.155004, 0.238404
75000, 75000, 0.155232, 0.234575
80000, 80000, 0.152115, 0.229011
85000, 85000, 0.150132, 0.224156
90000, 90000, 0.150794, 0.223102
95000, 95000, 0.147814, 0.222218
100000, 100000, 0.147640, 0.222775
105000, 105000, 0.144287, 0.219856
110000, 110000, 0.144699, 0.216025
115000, 115000, 0.141595, 0.214934
120000, 120000, 0.139783, 0.215517
125000, 125000, 0.141196, 0.214814
130000, 130000, 0.139318, 0.213033
135000, 135000, 0.140966, 0.214784
140000, 140000, 0.142105, 0.213584
145000, 145000, 0.140616, 0.214089
150000, 150000, 0.141264, 0.212277
155000, 155000, 0.141628, 0.213037
160000, 160000, 0.140664, 0.213304
165000, 165000, 0.138613, 0.212605
170000, 170000, 0.144228, 0.212020
175000, 175000, 0.142971, 0.211814
180000, 180000, 0.142246, 0.209727
185000, 185000, 0.142769, 0.209911
190000, 190000, 0.138829, 0.209786
195000, 195000, 0.140327, 0.210777
200000, 200000, 0.138510, 0.210501
205000, 205000, 0.139418, 0.210186
210000, 210000, 0.136781, 0.208715
215000, 215000, 0.139968, 0.206844
220000, 220000, 0.140422, 0.207980
225000, 225000, 0.139831, 0.208446
230000, 230000, 0.139004, 0.207576
235000, 235000, 0.137875, 0.208666
240000, 240000, 0.138847, 0.207647
245000, 245000, 0.143146, 0.206422
250000, 250000, 0.142026, 0.208157
255000, 255000, 0.139336, 0.208664
260000, 260000, 0.142778, 0.208679
265000, 265000, 0.139544, 0.207792
270000, 270000, 0.140579, 0.206635
275000, 275000, 0.139920, 0.206441
280000, 280000, 0.139941, 0.206508
285000, 285000, 0.139419, 0.208512
290000, 290000, 0.138014, 0.207474
295000, 295000, 0.136270, 0.208616
300000, 300000, 0.132691, 0.207753
305000, 305000, 0.134130, 0.207601
310000, 310000, 0.133193, 0.206730
315000, 315000, 0.135056, 0.206233
320000, 320000, 0.137248, 0.205430
325000, 325000, 0.136634, 0.204841
330000, 330000, 0.139261, 0.204176
335000, 335000, 0.135414, 0.205285
340000, 340000, 0.136412, 0.204983
345000, 345000, 0.138309, 0.206050
350000, 350000, 0.138752, 0.206498
355000, 355000, 0.138545, 0.204887
360000, 360000, 0.137076, 0.204818
365000, 365000, 0.135234, 0.205197
370000, 370000, 0.136275, 0.203361
375000, 375000, 0.137319, 0.203277
380000, 380000, 0.134245, 0.203171
385000, 385000, 0.137301, 0.203295
390000, 390000, 0.136497, 0.204427
395000, 395000, 0.137110, 0.204114
400000, 400000, 0.137774, 0.203116
405000, 405000, 0.135977, 0.203367
410000, 410000, 0.139082, 0.203593
415000, 415000, 0.140276, 0.204296
420000, 420000, 0.138765, 0.203590
425000, 425000, 0.137722, 0.202520
430000, 430000, 0.135347, 0.204074
435000, 435000, 0.139802, 0.204178
440000, 440000, 0.141796, 0.204892
445000, 445000, 0.140939, 0.204383
450000, 450000, 0.140865, 0.204342
455000, 455000, 0.139680, 0.204935
460000, 460000, 0.140253, 0.206326
465000, 465000, 0.136179, 0.204343
470000, 470000, 0.134939, 0.205646
475000, 475000, 0.135616, 0.204129
480000, 480000, 0.135399, 0.204598
485000, 485000, 0.132930, 0.204294
490000, 490000, 0.135810, 0.203303
495000, 495000, 0.134421, 0.203613
500000, 500000, 0.136508, 0.202529
