Iterations, Proposals, Gravimetry, TMI
0, 0, 2.298569, 1.502323
5000, 5000, 0.426160, 0.660632
10000, 10000, 0.233043, 0.403284
15000, 15000, 0.197322, 0.329927
20000, 20000, 0.188049, 0.299975
25000, 25000, 0.183277, 0.276118
30000, 30000, 0.178755, 0.252885
35000, 35000, 0.174054, 0.243480
40000, 40000, 0.166995, 0.237248
45000, 45000, 0.164196, 0.232393
50000, 50000, 0.160299, 0.230512
55000, 55000, 0.156245, 0.226390
60000, 60000, 0.156028, 0.222005
65000, 65000, 0.155510, 0.217778
70000, 70000, 0.151546, 0.215709
75000, 75000, 0.152301, 0.214256
80000, 80000, 0.152197, 0.214408
85000, 85000, 0.152640, 0.214716
90000, 90000, 0.147862, 0.215253
95000, 95000, 0.146957, 0.214311
100000, 100000, 0.145233, 0.212482
105000, 105000, 0.146390, 0.212183
110000, 110000, 0.145576, 0.211323
115000, 115000, 0.142861, 0.211252
120000, 120000, 0.142113, 0.211797
125000, 125000, 0.142367, 0.208952
130000, 130000, 0.143510, 0.209229
135000, 135000, 0.144195, 0.208613
140000, 140000, 0.144054, 0.209625
145000, 145000, 0.141345, 0.210333
150000, 150000, 0.142373, 0.208919
155000, 155000, 0.144121, 0.208373
160000, 160000, 0.143156, 0.208554
165000, 165000, 0.143652, 0.208603
170000, 170000, 0.140307, 0.208188
175000, 175000, 0.139742, 0.207377
180000, 180000, 0.138233, 0.207854
185000, 185000, 0.138882, 0.208277
190000, 190000, 0.140669, 0.207233
195000, 195000, 0.140055, 0.206300
200000, 200000, 0.141253, 0.208353
205000, 205000, 0.142129, 0.208986
210000, 210000, 0.140466, 0.209006
215000, 215000, 0.142517, 0.209802
220000, 220000, 0.140486, 0.210776
225000, 225000, 0.139975, 0.209677
230000, 230000, 0.140703, 0.207063
235000, 235000, 0.139473, 0.207525
240000, 240000, 0.136287, 0.206827
245000, 245000, 0.135334, 0.205236
250000, 250000, 0.134958, 0.205055
255000, 255000, 0.135815, 0.205552
260000, 260000, 0.134604, 0.205640
265000, 265000, 0.134835, 0.205564
270000, 270000, 0.134609, 0.204844
275000, 275000, 0.135791, 0.204556
280000, 280000, 0.134668, 0.204585
285000, 285000, 0.133989, 0.204359
290000, 290000, 0.132069, 0.204415
295000, 295000, 0.132318, 0.204305
300000, 300000, 0.134377, 0.204622
305000, 305000, 0.136591, 0.204113
310000, 310000, 0.133370, 0.203688
315000, 315000, 0.133768, 0.203247
320000, 320000, 0.133488, 0.202627
325000, 325000, 0.133640, 0.201054
330000, 330000, 0.131235, 0.202098
335000, 335000, 0.132616, 0.202648
340000, 340000, 0.131862, 0.203226
345000, 345000, 0.133771, 0.205657
350000, 350000, 0.131316, 0.205371
355000, 355000, 0.133505, 0.204304
360000, 360000, 0.135094, 0.204412
365000, 365000, 0.133373, 0.203646
370000, 370000, 0.130562, 0.203116
375000, 375000, 0.131548, 0.203428
380000, 380000, 0.129820, 0.202821
385000, 385000, 0.129469, 0.203498
390000, 390000, 0.128846, 0.202892
395000, 395000, 0.129338, 0.203044
400000, 400000, 0.130169, 0.204095
405000, 405000, 0.130794, 0.203523
410000, 410000, 0.132577, 0.203784
415000, 415000, 0.133443, 0.203600
420000, 420000, 0.131089, 0.202380
425000, 425000, 0.132026, 0.202427
430000, 430000, 0.131667, 0.203378
435000, 435000, 0.132940, 0.201744
440000, 440000, 0.132666, 0.201374
445000, 445000, 0.130076, 0.202914
450000, 450000, 0.133627, 0.202799
455000, 455000, 0.133850, 0.201197
460000, 460000, 0.135644, 0.201194
465000, 465000, 0.132742, 0.201054
470000, 470000, 0.131906, 0.201230
475000, 475000, 0.130283, 0.200682
480000, 480000, 0.127105, 0.200446
485000, 485000, 0.125631, 0.203015
490000, 490000, 0.124846, 0.202119
495000, 495000, 0.129292, 0.201091
500000, 500000, 0.129138, 0.201964
