X,Y,Z,Value
3250.000000, 3250.000000, -1325.000000, 1.000000
3250.000000, 3750.000000, -1100.000000, 1.000000
3250.000000, 4250.000000, -1100.000000, 1.000000
3250.000000, 4750.000000, -1325.000000, 1.000000
3250.000000, 5250.000000, -1325.000000, 1.000000
3250.000000, 6250.000000, -1775.000000, 1.000000
3750.000000, 3750.000000, -1325.000000, 1.000000
3750.000000, 4250.000000, -1100.000000, 1.000000
3750.000000, 4750.000000, -1100.000000, 1.000000
3750.000000, 5250.000000, -875.000000, 1.000000
3750.000000, 5750.000000, -875.000000, 1.000000
3750.000000, 6250.000000, -875.000000, 1.000000
3750.000000, 6750.000000, -1325.000000, 1.000000
3750.000000, 7250.000000, -1325.000000, 1.000000
3750.000000, 7750.000000, -1550.000000, 1.000000
3750.000000, 8250.000000, -1550.000000, 1.000000
4250.000000, 3750.000000, -1325.000000, 1.000000
4250.000000, 4250.000000, -1100.000000, 1.000000
4250.000000, 4750.000000, -1100.000000, 1.000000
4250.000000, 5250.000000, -650.000000, 1.000000
4250.000000, 5750.000000, -875.000000, 1.000000
4250.000000, 6250.000000, -875.000000, 1.000000
4250.000000, 6750.000000, -650.000000, 1.000000
4250.000000, 7250.000000, -650.000000, 1.000000
4250.000000, 7750.000000, -425.000000, 1.000000
4250.000000, 8250.000000, -425.000000, 1.000000
4250.000000, 8750.000000, -1325.000000, 1.000000
4750.000000, 4250.000000, -1325.000000, 1.000000
4750.000000, 4750.000000, -1100.000000, 1.000000
4750.000000, 5250.000000, -875.000000, 1.000000
4750.000000, 5750.000000, -875.000000, 1.000000
4750.000000, 6250.000000, -875.000000, 1.000000
4750.000000, 6750.000000, -650.000000, 1.000000
4750.000000, 7250.000000, -650.000000, 1.000000
4750.000000, 7750.000000, -425.000000, 1.000000
4750.000000, 8250.000000, -425.000000, 1.000000
4750.000000, 8750.000000, -1100.000000, 1.000000
5250.000000, 4750.000000, -1100.000000, 1.000000
5250.000000, 5250.000000, -650.000000, 1.000000
5250.000000, 5750.000000, -875.000000, 1.000000
5250.000000, 6250.000000, -875.000000, 1.000000
5250.000000, 6750.000000, -650.000000, 1.000000
5250.000000, 7250.000000, -650.000000, 1.000000
5250.000000, 7750.000000, -425.000000, 1.000000
5250.000000, 8250.000000, -425.000000, 1.000000
5250.000000, 8750.000000, -1100.000000, 1.000000
5750.000000, 5250.000000, -650.000000, 1.000000
5750.000000, 5750.000000, -875.000000, 1.000000
5750.000000, 6250.000000, -875.000000, 1.000000
5750.000000, 6750.000000, -875.000000, 1.000000
5750.000000, 7250.000000, -650.000000, 1.000000
5750.000000, 7750.000000, -650.000000, 1.000000
5750.000000, 8250.000000, -650.000000, 1.000000
6250.000000, 5250.000000, -1100.000000, 1.000000
6250.000000, 5750.000000, -1100.000000, 1.000000
6250.000000, 6250.000000, -1100.000000, 1.000000
6250.000000, 6750.000000, -1100.000000, 1.000000
6250.000000, 7250.000000, -1100.000000, 1.000000
6250.000000, 7750.000000, -1325.000000, 1.000000
6250.000000, 8250.000000, -1325.000000, 1.000000
6750.000000, 5750.000000, -1325.000000, 1.000000
6750.000000, 6250.000000, -1100.000000, 1.000000
7250.000000, 750.000000, -1325.000000, 1.000000
7250.000000, 1250.000000, -1325.000000, 1.000000
7250.000000, 1750.000000, -1550.000000, 1.000000
7750.000000, 750.000000, -1550.000000, 1.000000
8250.000000, 3250.000000, -1550.000000, 1.000000
8250.000000, 3750.000000, -1550.000000, 1.000000
8750.000000, 1250.000000, -1550.000000, 1.000000
8750.000000, 1750.000000, -1550.000000, 1.000000
8750.000000, 2250.000000, -1550.000000, 1.000000
8750.000000, 2750.000000, -1550.000000, 1.000000
8750.000000, 3250.000000, -1550.000000, 1.000000
8750.000000, 3750.000000, -1550.000000, 1.000000
8750.000000, 4250.000000, -1550.000000, 1.000000
8750.000000, 4750.000000, -1775.000000, 1.000000
9250.000000, 1250.000000, -1550.000000, 1.000000
9250.000000, 1750.000000, -1550.000000, 1.000000
9250.000000, 2250.000000, -1550.000000, 1.000000
9250.000000, 2750.000000, -1550.000000, 1.000000
9250.000000, 3250.000000, -1775.000000, 1.000000
9250.000000, 3750.000000, -1550.000000, 1.000000
9750.000000, 1250.000000, -1550.000000, 1.000000
9750.000000, 1750.000000, -1550.000000, 1.000000
9750.000000, 2250.000000, -1550.000000, 1.000000
