Iterations, Proposals, Gee, Gen, Ged, Gnn, Gnd, Gdd
0, 0, 4.965471, 0.729281, 5.170699, 3.033446, 3.150337, 6.113791
6720, 6720, 3.991559, 0.595231, 4.221731, 2.457570, 2.551417, 4.920490
13440, 13440, 3.644647, 0.561595, 3.883740, 2.232421, 2.325460, 4.485286
20160, 20160, 3.492081, 0.528517, 3.723340, 2.122858, 2.204830, 4.292563
26880, 26880, 3.391464, 0.504921, 3.615612, 2.035633, 2.106478, 4.159249
33600, 33600, 3.315576, 0.488634, 3.532460, 1.979880, 2.039209, 4.065365
40320, 40320, 3.230407, 0.470808, 3.437360, 1.919278, 1.964905, 3.962481
47040, 47040, 3.139429, 0.453070, 3.337428, 1.863054, 1.896256, 3.856820
53760, 53760, 3.036322, 0.429810, 3.219133, 1.792160, 1.804886, 3.736015
60480, 60480, 2.911510, 0.407599, 3.081087, 1.714701, 1.708779, 3.591792
67200, 67200, 2.737886, 0.379666, 2.890753, 1.618243, 1.589550, 3.396945
73920, 73920, 2.547552, 0.350263, 2.678698, 1.509261, 1.451954, 3.184110
80640, 80640, 2.281987, 0.319593, 2.391362, 1.367685, 1.284730, 2.884207
87360, 87360, 2.047182, 0.287563, 2.134150, 1.250634, 1.143620, 2.624668
94080, 94080, 1.838138, 0.260380, 1.904466, 1.143608, 1.017428, 2.393329
100800, 100800, 1.642767, 0.239565, 1.688881, 1.027900, 0.886880, 2.166007
107520, 107520, 1.458157, 0.217870, 1.486722, 0.935770, 0.782935, 1.961572
114240, 114240, 1.253672, 0.196969, 1.248505, 0.818338, 0.642449, 1.733163
120960, 120960, 1.055954, 0.179694, 1.021143, 0.721380, 0.534808, 1.516183
127680, 127680, 0.907926, 0.167609, 0.846616, 0.644123, 0.448752, 1.349605
134400, 134400, 0.800993, 0.158181, 0.719991, 0.595780, 0.397338, 1.232085
141120, 141120, 0.715761, 0.146977, 0.617822, 0.551174, 0.346380, 1.135297
147840, 147840, 0.641845, 0.135499, 0.524493, 0.514410, 0.307186, 1.051101
154560, 154560, 0.579169, 0.124923, 0.447002, 0.481739, 0.273283, 0.975981
161280, 161280, 0.530043, 0.113690, 0.385697, 0.454203, 0.242603, 0.914871
168000, 168000, 0.483941, 0.106787, 0.331122, 0.424667, 0.215676, 0.851217
174720, 174720, 0.442979, 0.097696, 0.281904, 0.397735, 0.190865, 0.793101
181440, 181440, 0.402217, 0.092182, 0.239734, 0.369907, 0.173276, 0.731358
188160, 188160, 0.366640, 0.081458, 0.203241, 0.344811, 0.152783, 0.676856
194880, 194880, 0.337832, 0.076524, 0.181309, 0.319938, 0.137577, 0.626851
201600, 201600, 0.308852, 0.070614, 0.157528, 0.296463, 0.121970, 0.578477
208320, 208320, 0.285565, 0.065391, 0.139929, 0.277055, 0.112639, 0.537979
215040, 215040, 0.259891, 0.059657, 0.121828, 0.253952, 0.097678, 0.493026
221760, 221760, 0.237571, 0.056998, 0.111098, 0.231577, 0.088158, 0.448990
228480, 228480, 0.215808, 0.055209, 0.102899, 0.210983, 0.083770, 0.407067
235200, 235200, 0.192390, 0.054093, 0.095286, 0.189219, 0.078618, 0.361883
241920, 241920, 0.172545, 0.051219, 0.090787, 0.169238, 0.075526, 0.320971
248640, 248640, 0.153840, 0.050853, 0.089670, 0.150454, 0.071203, 0.282630
255360, 255360, 0.134722, 0.050397, 0.087468, 0.132281, 0.068853, 0.243444
262080, 262080, 0.117281, 0.049577, 0.079514, 0.113307, 0.065557, 0.205052
268800, 268800, 0.103092, 0.049748, 0.074322, 0.100499, 0.062071, 0.176964
275520, 275520, 0.091797, 0.049604, 0.072486, 0.088936, 0.059026, 0.153349
282240, 282240, 0.082270, 0.050426, 0.069659, 0.078812, 0.055201, 0.132270
288960, 288960, 0.076881, 0.050221, 0.065984, 0.072966, 0.052922, 0.119480
295680, 295680, 0.072536, 0.050861, 0.063856, 0.068644, 0.051520, 0.110434
302400, 302400, 0.071514, 0.051083, 0.061389, 0.067865, 0.050137, 0.108129
309120, 309120, 0.069587, 0.051690, 0.061797, 0.066508, 0.049862, 0.105944
315840, 315840, 0.068662, 0.051389, 0.059887, 0.064774, 0.049933, 0.103792
322560, 322560, 0.067232, 0.050502, 0.059945, 0.064332, 0.049570, 0.102160
329280, 329280, 0.065824, 0.050493, 0.058349, 0.064558, 0.049461, 0.101693
336000, 336000, 0.065457, 0.050558, 0.056525, 0.063481, 0.049566, 0.099965
342720, 342720, 0.063497, 0.049616, 0.056170, 0.063343, 0.047056, 0.098319
349440, 349440, 0.063205, 0.049504, 0.054508, 0.063048, 0.046156, 0.097665
356160, 356160, 0.062518, 0.049558, 0.053123, 0.062510, 0.046840, 0.096805
362880, 362880, 0.061863, 0.049133, 0.053042, 0.062053, 0.046390, 0.096100
369600, 369600, 0.062365, 0.048873, 0.051567, 0.061820, 0.046093, 0.096254
376320, 376320, 0.061764, 0.048319, 0.052065, 0.061787, 0.045572, 0.095906
383040, 383040, 0.062400, 0.048349, 0.050597, 0.062069, 0.045055, 0.095859
389760, 389760, 0.061671, 0.048622, 0.051569, 0.061267, 0.045808, 0.094925
