Iterations, Proposals, Gee, Gen, Ged, Gnn, Gnd, Gdd
0, 0, 4.965471, 0.729281, 5.170699, 3.033446, 3.150337, 6.113791
6720, 6720, 3.972041, 0.598202, 4.201694, 2.468640, 2.562501, 4.909525
13440, 13440, 3.609502, 0.560309, 3.844584, 2.228331, 2.315630, 4.454818
20160, 20160, 3.429340, 0.523754, 3.641361, 2.080838, 2.138082, 4.224037
26880, 26880, 3.225306, 0.484159, 3.411198, 1.919837, 1.939372, 3.971133
33600, 33600, 2.963964, 0.437951, 3.115503, 1.742438, 1.714708, 3.665210
40320, 40320, 2.592538, 0.384732, 2.704835, 1.521615, 1.443288, 3.240835
47040, 47040, 2.088035, 0.305489, 2.140682, 1.231075, 1.085796, 2.665981
53760, 53760, 1.628287, 0.245510, 1.639067, 0.990966, 0.812072, 2.146095
60480, 60480, 1.308119, 0.205187, 1.268460, 0.845417, 0.631433, 1.812856
67200, 67200, 1.043381, 0.180427, 0.969200, 0.727897, 0.507164, 1.528176
73920, 73920, 0.869591, 0.161820, 0.771128, 0.655514, 0.440786, 1.336931
80640, 80640, 0.772071, 0.145377, 0.655109, 0.609906, 0.390314, 1.227605
87360, 87360, 0.688163, 0.131353, 0.553049, 0.568739, 0.346886, 1.131022
94080, 94080, 0.629891, 0.121013, 0.478890, 0.535824, 0.308361, 1.060875
100800, 100800, 0.558433, 0.108627, 0.387329, 0.498433, 0.268000, 0.976995
107520, 107520, 0.504143, 0.100808, 0.321395, 0.466399, 0.236789, 0.907460
114240, 114240, 0.441048, 0.090309, 0.241895, 0.428044, 0.203699, 0.823280
120960, 120960, 0.395225, 0.079906, 0.190272, 0.391876, 0.174120, 0.752085
127680, 127680, 0.356879, 0.071604, 0.155977, 0.357907, 0.148363, 0.686007
134400, 134400, 0.324891, 0.062843, 0.132932, 0.325393, 0.121987, 0.627471
141120, 141120, 0.297278, 0.058475, 0.119868, 0.297128, 0.105907, 0.574060
147840, 147840, 0.267359, 0.053302, 0.104169, 0.267541, 0.090874, 0.517565
154560, 154560, 0.232305, 0.051350, 0.095336, 0.232131, 0.082352, 0.446791
161280, 161280, 0.204308, 0.048408, 0.088719, 0.203506, 0.075093, 0.389888
168000, 168000, 0.176403, 0.046123, 0.083250, 0.173533, 0.066302, 0.332070
174720, 174720, 0.150075, 0.046063, 0.078643, 0.148165, 0.063260, 0.278969
181440, 181440, 0.128434, 0.045435, 0.075021, 0.127445, 0.060787, 0.235911
188160, 188160, 0.106711, 0.045656, 0.070445, 0.106981, 0.058786, 0.190925
194880, 194880, 0.090754, 0.045523, 0.067837, 0.090860, 0.056352, 0.156824
201600, 201600, 0.079454, 0.044722, 0.064227, 0.076712, 0.052738, 0.128955
208320, 208320, 0.071708, 0.044166, 0.060012, 0.070385, 0.051997, 0.114031
215040, 215040, 0.067532, 0.044777, 0.056282, 0.066435, 0.050629, 0.106667
221760, 221760, 0.065329, 0.043691, 0.055545, 0.064715, 0.047862, 0.103552
228480, 228480, 0.064741, 0.043212, 0.053160, 0.064161, 0.047881, 0.102561
235200, 235200, 0.064138, 0.043023, 0.051496, 0.063313, 0.048169, 0.101779
241920, 241920, 0.063886, 0.042573, 0.051262, 0.062553, 0.047084, 0.100750
248640, 248640, 0.063410, 0.041852, 0.049468, 0.062651, 0.044821, 0.100006
255360, 255360, 0.061823, 0.042488, 0.049683, 0.061375, 0.045664, 0.098374
262080, 262080, 0.060310, 0.042281, 0.050066, 0.060041, 0.045404, 0.095699
268800, 268800, 0.058919, 0.042491, 0.048517, 0.058082, 0.044068, 0.093389
275520, 275520, 0.059427, 0.040781, 0.047170, 0.057280, 0.043414, 0.092857
282240, 282240, 0.058040, 0.041026, 0.047580, 0.057920, 0.042873, 0.092432
288960, 288960, 0.057422, 0.041127, 0.047384, 0.056799, 0.042844, 0.091286
295680, 295680, 0.056529, 0.042119, 0.046877, 0.057038, 0.042272, 0.090403
302400, 302400, 0.056108, 0.041017, 0.046582, 0.057031, 0.042974, 0.090517
309120, 309120, 0.053961, 0.040692, 0.045672, 0.054592, 0.042265, 0.086529
315840, 315840, 0.053936, 0.040321, 0.045902, 0.054276, 0.041267, 0.086393
322560, 322560, 0.054550, 0.040003, 0.044756, 0.054295, 0.040657, 0.086694
329280, 329280, 0.055104, 0.040358, 0.045028, 0.054106, 0.040630, 0.086677
336000, 336000, 0.054495, 0.040083, 0.044835, 0.054870, 0.041304, 0.086892
342720, 342720, 0.054866, 0.039694, 0.043939, 0.054187, 0.042032, 0.086800
349440, 349440, 0.054395, 0.039255, 0.043305, 0.054771, 0.040351, 0.086689
356160, 356160, 0.054146, 0.039112, 0.044512, 0.053359, 0.041705, 0.085872
362880, 362880, 0.054098, 0.039074, 0.044344, 0.052787, 0.040068, 0.084643
369600, 369600, 0.053222, 0.039191, 0.044881, 0.052372, 0.039950, 0.084114
376320, 376320, 0.053247, 0.038678, 0.043247, 0.052194, 0.038835, 0.084202
383040, 383040, 0.052820, 0.038036, 0.043850, 0.053031, 0.039131, 0.084293
389760, 389760, 0.053754, 0.038100, 0.042592, 0.052057, 0.039619, 0.084101
396480, 396480, 0.052856, 0.038227, 0.043214, 0.051270, 0.039026, 0.083076
403200, 403200, 0.052544, 0.038544, 0.043026, 0.051674, 0.038269, 0.083422
409920, 409920, 0.051696, 0.038058, 0.042072, 0.051450, 0.038570, 0.082604
416640, 416640, 0.051080, 0.038476, 0.041627, 0.050954, 0.038534, 0.081602
423360, 423360, 0.051403, 0.037457, 0.041708, 0.051394, 0.039471, 0.081757
430080, 430080, 0.050803, 0.037954, 0.041866, 0.051393, 0.038853, 0.081926
436800, 436800, 0.049984, 0.038265, 0.041944, 0.050643, 0.037717, 0.080594
443520, 443520, 0.049992, 0.037813, 0.041886, 0.050758, 0.037418, 0.080603
450240, 450240, 0.050214, 0.037484, 0.040168, 0.050574, 0.037724, 0.080321
456960, 456960, 0.049967, 0.036181, 0.041181, 0.049764, 0.038103, 0.079519
463680, 463680, 0.051095, 0.036572, 0.039970, 0.049560, 0.038417, 0.080443
470400, 470400, 0.050894, 0.036891, 0.041121, 0.049539, 0.038783, 0.080242
477120, 477120, 0.048590, 0.037677, 0.042913, 0.049410, 0.037061, 0.078863
483840, 483840, 0.049501, 0.037000, 0.041740, 0.048784, 0.037953, 0.078903
490560, 490560, 0.048749, 0.036753, 0.040810, 0.049537, 0.037067, 0.079087
497280, 497280, 0.049437, 0.036771, 0.040698, 0.048497, 0.038494, 0.078736
504000, 504000, 0.048819, 0.036215, 0.039937, 0.049335, 0.037368, 0.078650
510720, 510720, 0.048248, 0.036108, 0.039699, 0.048947, 0.037538, 0.077708
517440, 517440, 0.048613, 0.036043, 0.039580, 0.048739, 0.037594, 0.077805
524160, 524160, 0.050060, 0.035291, 0.038262, 0.048659, 0.037319, 0.078499
530880, 530880, 0.047930, 0.035777, 0.041125, 0.048295, 0.037975, 0.077093
537600, 537600, 0.048370, 0.035854, 0.039306, 0.048826, 0.037020, 0.077098
544320, 544320, 0.047894, 0.036393, 0.040336, 0.048471, 0.038416, 0.076715
551040, 551040, 0.047969, 0.036130, 0.041332, 0.049239, 0.037636, 0.077462
557760, 557760, 0.046256, 0.036621, 0.041542, 0.048361, 0.038435, 0.076363
564480, 564480, 0.047278, 0.035431, 0.039338, 0.049162, 0.037565, 0.077110
571200, 571200, 0.046183, 0.036783, 0.041119, 0.048439, 0.037664, 0.076217
577920, 577920, 0.047321, 0.035491, 0.039210, 0.048538, 0.038337, 0.077108
584640, 584640, 0.047222, 0.036003, 0.040560, 0.049545, 0.036887, 0.077535
591360, 591360, 0.047627, 0.035737, 0.040048, 0.048961, 0.037826, 0.077301
598080, 598080, 0.047143, 0.035985, 0.041325, 0.048577, 0.038478, 0.076801
604800, 604800, 0.047493, 0.036105, 0.040032, 0.048425, 0.037485, 0.076690
611520, 611520, 0.047678, 0.036537, 0.039844, 0.047705, 0.038420, 0.076584
618240, 618240, 0.048846, 0.035376, 0.037979, 0.048630, 0.036589, 0.077500
624960, 624960, 0.048945, 0.035672, 0.038943, 0.048418, 0.037158, 0.077786
631680, 631680, 0.048023, 0.035141, 0.039048, 0.048317, 0.037231, 0.077017
638400, 638400, 0.048039, 0.035974, 0.040028, 0.048338, 0.038014, 0.077303
645120, 645120, 0.047808, 0.035463, 0.039270, 0.048045, 0.038457, 0.076458
651840, 651840, 0.047763, 0.035159, 0.038936, 0.048395, 0.037598, 0.076389
658560, 658560, 0.047744, 0.035125, 0.039815, 0.047354, 0.038288, 0.075787
665280, 665280, 0.046152, 0.036158, 0.039829, 0.048204, 0.038918, 0.075460
672000, 672000, 0.046754, 0.035009, 0.038956, 0.047284, 0.038284, 0.075556
