Iterations, Proposals, Gee, Gen, Ged, Gnn, Gnd, Gdd
0, 0, 2.240187, 0.858750, 2.576428, 1.593363, 1.807040, 2.963522
6720, 6720, 2.127728, 0.799019, 2.448627, 1.501030, 1.703326, 2.797933
13440, 13440, 2.039980, 0.760502, 2.348824, 1.434895, 1.628136, 2.675803
20160, 20160, 1.957540, 0.718399, 2.252474, 1.369185, 1.547342, 2.560256
26880, 26880, 1.867262, 0.675198, 2.145060, 1.293876, 1.453684, 2.434059
33600, 33600, 1.769470, 0.622275, 2.024773, 1.189816, 1.326654, 2.285009
40320, 40320, 1.655775, 0.562459, 1.883054, 1.076903, 1.188817, 2.118536
47040, 47040, 1.528661, 0.495743, 1.720472, 0.953059, 1.031720, 1.939542
53760, 53760, 1.409293, 0.430650, 1.562030, 0.835418, 0.880122, 1.774799
60480, 60480, 1.299425, 0.371361, 1.415839, 0.735430, 0.745814, 1.632585
67200, 67200, 1.166525, 0.303925, 1.240234, 0.638919, 0.603988, 1.478340
73920, 73920, 1.029409, 0.248445, 1.059827, 0.560720, 0.478308, 1.334673
80640, 80640, 0.907300, 0.211110, 0.900990, 0.508464, 0.383331, 1.217895
87360, 87360, 0.785121, 0.178834, 0.749746, 0.464303, 0.304832, 1.098940
94080, 94080, 0.686148, 0.155267, 0.635488, 0.429329, 0.255783, 0.993542
100800, 100800, 0.616193, 0.137872, 0.548974, 0.409688, 0.223160, 0.923649
107520, 107520, 0.547279, 0.124302, 0.468652, 0.385714, 0.197907, 0.848166
114240, 114240, 0.483451, 0.108441, 0.390259, 0.368359, 0.176428, 0.784062
120960, 120960, 0.428565, 0.094383, 0.321282, 0.351241, 0.159248, 0.726305
127680, 127680, 0.387581, 0.084943, 0.272198, 0.332455, 0.144113, 0.675893
134400, 134400, 0.345882, 0.075359, 0.215901, 0.315513, 0.128052, 0.628229
141120, 141120, 0.315843, 0.068257, 0.175793, 0.297735, 0.111813, 0.587711
147840, 147840, 0.288784, 0.063661, 0.144843, 0.278692, 0.100045, 0.546238
154560, 154560, 0.262436, 0.059769, 0.123771, 0.254021, 0.084485, 0.498287
161280, 161280, 0.236906, 0.057134, 0.108970, 0.230056, 0.075228, 0.450586
168000, 168000, 0.208940, 0.055910, 0.096282, 0.202768, 0.066984, 0.396234
174720, 174720, 0.183816, 0.054124, 0.089274, 0.177638, 0.062070, 0.345731
