Iterations, Proposals, Gee, Gen, Ged, Gnn, Gnd, Gdd
0, 0, 2.240187, 0.858750, 2.576428, 1.593363, 1.807040, 2.963522
6720, 6720, 2.068595, 0.770296, 2.377875, 1.456846, 1.645756, 2.720076
13440, 13440, 1.894063, 0.682639, 2.174877, 1.322342, 1.484186, 2.477397
20160, 20160, 1.695706, 0.583201, 1.943549, 1.177775, 1.307436, 2.209362
26880, 26880, 1.511500, 0.493880, 1.727427, 1.060540, 1.158553, 1.973623
33600, 33600, 1.359236, 0.414145, 1.546730, 0.953248, 1.021998, 1.775456
40320, 40320, 1.208799, 0.339458, 1.367028, 0.848892, 0.889787, 1.584600
47040, 47040, 1.101836, 0.287319, 1.238353, 0.778492, 0.797735, 1.453692
53760, 53760, 0.980095, 0.230549, 1.088902, 0.693704, 0.684952, 1.306910
60480, 60480, 0.871180, 0.190414, 0.954628, 0.618360, 0.587776, 1.179741
67200, 67200, 0.772723, 0.163024, 0.831634, 0.558174, 0.507931, 1.072418
73920, 73920, 0.649593, 0.136092, 0.671843, 0.481985, 0.402975, 0.941922
80640, 80640, 0.538867, 0.121605, 0.522590, 0.420989, 0.314518, 0.831441
87360, 87360, 0.451270, 0.112722, 0.389400, 0.373569, 0.236266, 0.747890
94080, 94080, 0.392440, 0.107869, 0.314787, 0.345335, 0.209096, 0.682144
100800, 100800, 0.344818, 0.103372, 0.265161, 0.315763, 0.191156, 0.614672
107520, 107520, 0.304117, 0.095427, 0.230786, 0.283474, 0.173346, 0.546925
114240, 114240, 0.261624, 0.087282, 0.200486, 0.241315, 0.152147, 0.466758
120960, 120960, 0.215382, 0.081774, 0.180807, 0.186864, 0.130662, 0.367494
127680, 127680, 0.169633, 0.079014, 0.164368, 0.135495, 0.117013, 0.269909
134400, 134400, 0.134115, 0.073731, 0.149721, 0.088742, 0.099604, 0.189184
141120, 141120, 0.116700, 0.069981, 0.134717, 0.067472, 0.084865, 0.154886
147840, 147840, 0.103354, 0.064890, 0.118922, 0.056690, 0.073647, 0.134896
154560, 154560, 0.096788, 0.061407, 0.111322, 0.051436, 0.067865, 0.125157
161280, 161280, 0.089406, 0.058223, 0.102894, 0.048587, 0.062259, 0.115868
168000, 168000, 0.083259, 0.056718, 0.096905, 0.045887, 0.057996, 0.108320
174720, 174720, 0.080016, 0.053559, 0.090100, 0.043854, 0.055044, 0.102447
181440, 181440, 0.075023, 0.052286, 0.087188, 0.042734, 0.052711, 0.096954
188160, 188160, 0.072489, 0.050909, 0.082996, 0.040056, 0.050234, 0.091832
194880, 194880, 0.070524, 0.050851, 0.081103, 0.038810, 0.048666, 0.089108
201600, 201600, 0.069522, 0.049607, 0.078677, 0.038168, 0.046684, 0.086894
208320, 208320, 0.067085, 0.048703, 0.077599, 0.037884, 0.045929, 0.084470
215040, 215040, 0.065875, 0.048816, 0.075597, 0.037318, 0.044591, 0.082703
221760, 221760, 0.064469, 0.048003, 0.073845, 0.035912, 0.043880, 0.080397
228480, 228480, 0.063366, 0.047102, 0.071445, 0.035744, 0.042744, 0.078609
235200, 235200, 0.060386, 0.048182, 0.070257, 0.034810, 0.041957, 0.075492
241920, 241920, 0.060109, 0.047052, 0.069400, 0.033968, 0.041649, 0.074572
248640, 248640, 0.058379, 0.047115, 0.068203, 0.032919, 0.039979, 0.072239
255360, 255360, 0.057153, 0.047161, 0.065886, 0.033339, 0.039540, 0.070435
262080, 262080, 0.056492, 0.045334, 0.065692, 0.032406, 0.039303, 0.069500
268800, 268800, 0.055038, 0.045339, 0.064101, 0.033557, 0.037714, 0.068366
275520, 275520, 0.055545, 0.045302, 0.062444, 0.032268, 0.037663, 0.067610
282240, 282240, 0.055321, 0.045424, 0.063570, 0.032172, 0.037307, 0.067427
288960, 288960, 0.054653, 0.044575, 0.062045, 0.032345, 0.036708, 0.066390
295680, 295680, 0.054522, 0.045154, 0.062291, 0.031904, 0.036744, 0.065894
302400, 302400, 0.053872, 0.044546, 0.061397, 0.031608, 0.036091, 0.065251
309120, 309120, 0.053424, 0.043409, 0.060335, 0.030725, 0.035119, 0.063956
315840, 315840, 0.052618, 0.043259, 0.059907, 0.030396, 0.035748, 0.063994
322560, 322560, 0.051472, 0.045026, 0.060267, 0.030541, 0.035175, 0.062864
329280, 329280, 0.051196, 0.044263, 0.060968, 0.030864, 0.034865, 0.062716
336000, 336000, 0.052469, 0.043382, 0.057930, 0.030149, 0.035325, 0.062661
342720, 342720, 0.050682, 0.044661, 0.059380, 0.029651, 0.035644, 0.061246
349440, 349440, 0.050261, 0.043702, 0.058987, 0.030856, 0.034827, 0.061117
356160, 356160, 0.050787, 0.043558, 0.057614, 0.029999, 0.034297, 0.060252
362880, 362880, 0.050724, 0.043152, 0.057380, 0.030227, 0.033575, 0.060703
369600, 369600, 0.050109, 0.042484, 0.057026, 0.030360, 0.033701, 0.060493
376320, 376320, 0.049177, 0.044381, 0.056368, 0.030395, 0.033575, 0.059388
383040, 383040, 0.050662, 0.042441, 0.054567, 0.029483, 0.032760, 0.059563
389760, 389760, 0.048356, 0.043684, 0.055164, 0.028599, 0.033420, 0.057412
396480, 396480, 0.048318, 0.043046, 0.055820, 0.029943, 0.031808, 0.058053
403200, 403200, 0.048449, 0.042646, 0.054881, 0.029504, 0.032914, 0.058153
409920, 409920, 0.048374, 0.042714, 0.054195, 0.028788, 0.032686, 0.057167
416640, 416640, 0.047515, 0.042904, 0.054685, 0.029417, 0.031981, 0.057277
423360, 423360, 0.046974, 0.042858, 0.055011, 0.029136, 0.032618, 0.056737
430080, 430080, 0.047923, 0.043179, 0.054413, 0.028861, 0.032280, 0.057056
436800, 436800, 0.048037, 0.042790, 0.054502, 0.028944, 0.032596, 0.057855
443520, 443520, 0.047322, 0.042873, 0.054514, 0.029080, 0.031293, 0.056524
450240, 450240, 0.048154, 0.041919, 0.053740, 0.028191, 0.031535, 0.056479
456960, 456960, 0.047225, 0.042812, 0.054887, 0.027937, 0.030799, 0.055887
463680, 463680, 0.047759, 0.041913, 0.054247, 0.027556, 0.031268, 0.055603
470400, 470400, 0.046757, 0.043509, 0.054779, 0.028223, 0.031608, 0.055237
477120, 477120, 0.046537, 0.042983, 0.054689, 0.028271, 0.031114, 0.055534
483840, 483840, 0.048197, 0.041934, 0.053667, 0.028196, 0.031591, 0.056304
490560, 490560, 0.046726, 0.042800, 0.055053, 0.028290, 0.031674, 0.055494
497280, 497280, 0.047378, 0.042299, 0.055636, 0.028355, 0.032398, 0.056713
504000, 504000, 0.047970, 0.041964, 0.055485, 0.028585, 0.031146, 0.056967
510720, 510720, 0.048317, 0.043152, 0.054714, 0.028048, 0.031909, 0.056834
517440, 517440, 0.047639, 0.043069, 0.054305, 0.028170, 0.030859, 0.055774
524160, 524160, 0.046713, 0.042395, 0.054375, 0.027819, 0.030731, 0.055298
530880, 530880, 0.044858, 0.042567, 0.054747, 0.027987, 0.030535, 0.054277
537600, 537600, 0.045745, 0.042258, 0.053456, 0.028400, 0.029680, 0.054177
544320, 544320, 0.045864, 0.042397, 0.052799, 0.027964, 0.031153, 0.053973
551040, 551040, 0.044457, 0.042857, 0.053374, 0.028297, 0.030863, 0.053287
557760, 557760, 0.046063, 0.041605, 0.052907, 0.028724, 0.030485, 0.054981
564480, 564480, 0.047035, 0.042151, 0.051436, 0.029194, 0.031079, 0.055557
571200, 571200, 0.046242, 0.041873, 0.051939, 0.027794, 0.030776, 0.054031
577920, 577920, 0.045430, 0.041717, 0.051931, 0.028259, 0.030457, 0.053832
584640, 584640, 0.043883, 0.042655, 0.052880, 0.028113, 0.030847, 0.052788
591360, 591360, 0.044485, 0.043152, 0.051121, 0.027989, 0.030375, 0.052912
598080, 598080, 0.044559, 0.042116, 0.050575, 0.027907, 0.030689, 0.053064
604800, 604800, 0.044226, 0.042472, 0.050985, 0.027327, 0.029833, 0.051958
611520, 611520, 0.044486, 0.041625, 0.051659, 0.027860, 0.030497, 0.053448
618240, 618240, 0.044284, 0.042478, 0.051407, 0.027360, 0.031379, 0.052363
624960, 624960, 0.045194, 0.042078, 0.050415, 0.027417, 0.030282, 0.052705
631680, 631680, 0.044439, 0.041115, 0.050447, 0.027419, 0.030152, 0.052324
638400, 638400, 0.045239, 0.041615, 0.049941, 0.026535, 0.029484, 0.052233
645120, 645120, 0.044513, 0.041670, 0.050528, 0.027599, 0.027997, 0.051931
651840, 651840, 0.044574, 0.041619, 0.052099, 0.027808, 0.029180, 0.052706
658560, 658560, 0.045299, 0.041894, 0.050557, 0.026623, 0.029717, 0.052288
665280, 665280, 0.044033, 0.043039, 0.051288, 0.027678, 0.029668, 0.051992
672000, 672000, 0.045010, 0.042202, 0.050505, 0.027759, 0.029700, 0.052309
